,plate,well,code,trans.index,pool.index,distance,position,gene
1410,4,258,1.00111E+23,728,1410,3,278556,
1413,4,261,1.01111E+22,4888,1413,3,1074975,
1415,4,263,1.10011E+21,5189,1415,3,1768982,SP_1861
1416,4,264,1.00101E+22,4725,1416,2,644029,
1419,4,267,1.00111E+21,1485,1419,3,656861,SP_0686
1424,4,272,1.101E+22,5121,1424,3,1665584,SP_1763
1427,4,275,1.0101E+22,5092,1427,3,1583341,SP_1683
1428,4,276,1.00001E+23,3187,1428,3,1730717,
1432,4,280,1.10011E+22,1603,1432,3,707633,SP_0748
1433,4,281,1.1E+21,5846,1433,3,2007866,SP_2099
1435,4,283,1.1101E+21,4984,1435,2,1294710,SP_1371
1437,4,285,1.00111E+23,793,1437,3,298921,
1439,4,287,1.01001E+22,4627,1439,2,460241,SP_0479
1443,4,291,1.11E+23,3575,1443,3,1896267,
1445,4,293,1.1011E+23,2907,1445,2,1587689,SP_1687
1448,4,296,1.01101E+21,5878,1448,3,2091195,SP_2173
1455,4,303,1.11101E+23,1956,1455,3,972072,
1457,4,305,1.001E+20,4671,1457,3,542830,
1457.1,4,305,1.001E+20,4828,1457,3,949088,SP_1004
1461,4,309,1.00001E+22,4960,1461,3,1254879,SP_1330
1463,4,311,1.1011E+23,4039,1463,3,2066696,SP_2152
1469,4,317,1.01101E+23,1718,1469,3,821897,
1478,4,326,1.1111E+23,2190,1478,2,1111230,SP_1175
1492,4,340,1.111E+21,5227,1492,3,1857869,
1502,4,350,1.01001E+23,209,1502,3,80545,
1504,4,352,1.1101E+23,4403,1504,3,80388,SP_0073
1511,4,359,1.1111E+23,1398,1511,3,619549,SP_0648
1511.1,4,359,1.1111E+23,3000,1511,3,1653363,SP_1752
1512,4,360,1.00001E+23,320,1512,3,134506,SP_0136
1515,4,363,1.011E+23,483,1515,3,162265,SP_0167
1516,4,364,1.001E+21,5748,1516,2,1568265,
1519,4,367,1.10011E+23,3094,1519,3,1692679,
1523,4,371,1.011E+22,5129,1523,3,1671500,SP_1767
1524,4,372,1.01E+23,3542,1524,2,1882930,SP_1978
1526,4,374,1.11101E+20,6034,1526,2,1439054,SP_1527
1527,4,375,1.01101E+21,998,1527,2,441857,SP_0463
1529,4,377,1.11011E+23,2519,1529,2,1330829,SP_1410
1531,4,379,1.1E+21,5796,1531,3,1756249,SP_1848
1533,4,381,1.00101E+23,601,1533,3,217171,SP_0247
1534,4,382,1.111E+23,3372,1534,3,1797608,
1538,5,2,1.1101E+23,2371,1538,3,1243024,SP_1319
1540,5,4,1.11101E+19,6130,1540,2,290924,
1540.1,5,4,1.11101E+19,6201,1540,3,2081131,
1543,5,7,1.10101E+23,261,1543,2,102957,SP_0101
1544,5,8,1.1E+22,5889,1544,2,2115470,SP_2194
1546,5,10,1.0011E+23,1594,1546,2,701226,SP_0738
1548,5,12,1.1011E+23,63,1548,1,57876,
1548.1,5,12,1.1011E+23,3582,1548,2,1898774,SP_1996
1549,5,13,1.1111E+23,4477,1549,3,155452,
1550,5,14,1.0101E+22,4951,1550,3,1247683,SP_1324
1551,5,15,1.01011E+21,5586,1551,3,618102,SP_0648
1555,5,19,1.11011E+23,2030,1555,3,993609,SP_1056
1563,5,27,1.1111E+22,4554,1563,3,298889,SP_0325
1569,5,33,1.1001E+22,5114,1569,2,1656972,SP_1757
1584,5,48,1.10001E+22,5107,1584,3,1622392,SP_1719
1585,5,49,1.1011E+23,803,1585,3,304476,SP_0331
1585.1,5,49,1.1011E+23,1245,1585,3,545217,SP_0577
1589,5,53,1.111E+23,805,1589,2,305177,
1589.1,5,53,1.111E+23,1994,1589,3,983915,
1599,5,63,1.1E+22,4462,1599,3,140414,SP_0141
1607,5,71,1.011E+22,4752,1607,2,716643,
1609,5,73,1.1101E+22,5213,1609,3,1822630,SP_1908
1610,5,74,1.0001E+21,5740,1610,3,1534492,SP_1634
1614,5,78,1.0001E+22,1423,1614,3,629875,SP_0659
1616,5,80,1.01011E+23,2003,1616,3,986186,SP_1046
1616.1,5,80,1.01011E+23,2019,1616,2,989647,SP_1052
1619,5,83,1.1101E+23,1940,1619,2,955152,SP_1010
1623,5,87,1.1001E+23,4950,1623,3,1246277,SP_1322
1630,5,94,1.00001E+23,192,1630,3,78619,SP_0071
1630.1,5,94,1.00001E+23,822,1630,3,320495,SP_0346
1630.2,5,94,1.00001E+23,1512,1630,2,667224,SP_0698
1634,5,98,1.01011E+21,5398,1634,3,2094656,
1638,5,102,1.01001E+23,3091,1638,3,1677433,SP_1771
1641,5,105,1.0101E+23,2430,1641,3,1265529,
1642,5,106,1.101E+23,931,1642,3,405313,SP_0430
1649,5,113,1.101E+22,4817,1649,3,917205,SP_0970
1659,5,123,1.001E+23,1289,1659,3,563188,SP_0592
1662,5,126,1.011E+23,5820,1662,3,1896524,
1666,5,130,1.00011E+22,4144,1666,3,2082364,SP_2165
1669,5,133,1.111E+21,5546,1669,3,493698,SP_0510
1671,5,135,1.0001E+20,5947,1671,3,485478,
1673,5,137,1.01011E+22,4131,1673,3,2080635,SP_2162
1673.1,5,137,1.01011E+22,5164,1673,3,1736894,
1674,5,138,1.0101E+23,197,1674,3,78838,
1677,5,141,1.1101E+23,720,1677,3,277592,SP_0303
1681,5,145,1.11111E+17,6218,1681,3,227999,SP_0255
1682,5,146,1.111E+20,5972,1682,3,750415,SP_0797
1685,5,149,1.011E+23,8,1685,3,6467,SP_0006
1698,5,162,1.1001E+23,3443,1698,1,1839905,SP_1936
1700,5,164,1.01101E+21,5677,1700,3,1129394,
1701,5,165,1.01011E+19,2792,1701,3,1527070,SP_1625
1705,5,169,1.11011E+23,2086,1705,3,1043838,SP_1114
1709,5,173,1.10011E+23,2979,1709,3,1623714,
1720,5,184,1.01E+23,1478,1720,2,653688,SP_0681
1730,5,194,1.10011E+22,4892,1730,2,1093317,SP_1157
1732,5,196,1.00111E+23,671,1732,3,246127,SP_0268
1737,5,201,1.01001E+22,4784,1737,3,781928,SP_0833
1739,5,203,1.1001E+22,4996,1739,3,1331198,
1740,5,204,1.1011E+21,5460,1740,2,103464,
1742,5,206,1.0101E+23,3101,1742,3,1693521,
1748,5,212,1.11101E+22,4771,1748,2,744197,
1748.1,5,212,1.11101E+22,5202,1748,2,1796820,SP_1891
1751,5,215,1.011E+23,4311,1751,2,2129029,SP_2208
1753,5,217,1.00001E+22,4856,1753,3,995671,
1761,5,225,1.0101E+22,4848,1761,3,985679,SP_1046
1765,5,229,1.10111E+20,6033,1765,3,1394516,SP_1482
1765.1,5,229,1.10111E+20,6277,1765,3,623780,
1766,5,230,1.0001E+21,5514,1766,3,389529,SP_0409
1769,5,233,1.11001E+23,1269,1769,3,549209,SP_0580
1770,5,234,1.11111E+23,1762,1770,3,846496,SP_0894
1770.1,5,234,1.11111E+23,2719,1770,3,1457731,SP_1550
1772,5,236,1.1E+23,1565,1772,3,688298,
1774,5,238,1.01101E+23,2012,1774,3,988622,SP_1051
1776,5,240,1.00001E+23,1417,1776,3,628601,SP_0657
1778,5,242,1.1111E+22,410,1778,3,148827,SP_0151
1784,5,248,1.00011E+23,3938,1784,2,2041555,SP_2129
1788,5,252,1.00111E+23,3089,1788,3,1676767,SP_1771
1798,5,262,1.1111E+23,1368,1798,3,608893,SP_0641
1803,5,267,1.0111E+21,5672,1803,2,1072905,SP_1145
1804,5,268,1.01101E+18,1274,1804,3,553926,F57-SP0584-SP0585
1818,5,282,1.0001E+20,5959,1818,3,569443,
1829,5,293,1.0001E+23,6132,1829,3,310473,
1832,5,296,1.11101E+23,2802,1832,3,1529586,SP_1628
1839,5,303,1.0011E+23,1920,1839,2,949382,SP_1004
1840,5,304,1.101E+23,2340,1840,3,1231508,
1842,5,306,1.00011E+23,2697,1842,2,1438686,SP_1527
1844,5,308,1.01011E+23,5556,1844,2,508199,SP_0529
1847,5,311,1.10111E+20,6085,1847,3,1922686,SP_2016
1853,5,317,1.111E+22,5361,1853,3,2068052,SP_2153
1856,5,320,1.00001E+22,4654,1856,3,508833,SP_0529
1871,5,335,1.011E+23,2872,1871,3,1578835,
1872,5,336,1.0101E+22,4841,1872,3,976726,SP_1035
1873,5,337,1.0111E+21,5612,1873,3,725274,
1873.1,5,337,1.0111E+21,5777,1873,3,1712016,SP_1796
1874,5,338,1.01101E+21,5509,1874,2,298483,SP_0325
1879,5,343,1.111E+19,6183,1879,3,1702295,SP_1784
1883,5,347,1.01111E+20,5923,1883,3,211241,SP_0241
1884,5,348,1.1111E+23,1779,1884,2,859274,
1884.1,5,348,1.1111E+23,3014,1884,3,1658448,SP_1758
1888,5,352,1.0011E+22,4670,1888,2,542641,SP_0575
1892,5,356,1.01011E+22,5116,1892,3,1660172,SP_1759
1894,5,358,1.1001E+22,4483,1894,3,162161,
1895,5,359,1.1001E+22,4625,1895,3,457938,SP_0478
1896,5,360,1.10001E+23,3729,1896,3,1959810,SP_2058
1898,5,362,1.101E+18,6219,1898,3,244996,SP_0268
1905,5,369,1.1E+21,5761,1905,3,1662391,SP_1760
1913,5,377,1.011E+23,584,1913,2,213982,SP_0243
1914,5,378,1.11111E+22,5332,1914,3,2043260,SP_2131
1926,6,6,1.00001E+22,3234,1926,2,1739382,SP_1828
1928,6,8,1.01E+20,5249,1928,3,1917732,
1928.1,6,8,1.01E+20,6007,1928,3,1073317,
1938,6,18,1.01101E+23,3621,1938,3,1927076,SP_2021
1940,6,20,1.1001E+22,5019,1940,3,1385826,SP_1472
1943,6,23,1.1E+23,2167,1943,3,1095607,SP_1160
1947,6,27,1.1111E+19,6184,1947,2,1717410,SP_1800
1947.1,6,27,1.1111E+19,6185,1947,2,1717411,SP_1800
1949,6,29,1.11101E+23,3833,1949,3,2011078,SP_2101
1953,6,33,1.01011E+23,5725,1953,2,1431064,SP_1523
1959,6,39,1.01101E+22,5957,1959,2,556393,
1962,6,42,1.0001E+21,6188,1962,3,1872836,SP_1964
1963,6,43,1.01001E+23,2796,1963,2,1527639,
1978,6,58,1.00101E+22,4493,1978,3,169599,
1978.1,6,58,1.00101E+22,4932,1978,3,1216025,SP_1281
1980,6,60,1.00011E+23,4247,1980,3,2098275,
1983,6,63,1.001E+23,1932,1983,3,950997,SP_1005
1985,6,65,1.1011E+21,5485,1985,3,191682,SP_0205
1985.1,6,65,1.1011E+21,5643,1985,3,924868,SP_0979
1996,6,76,1.1001E+23,2183,1996,3,1105384,SP_1169
1998,6,78,1.10001E+22,5894,1998,3,2157452,SP_2236
2010,6,90,1.111E+23,4578,2010,3,378427,
2011,6,91,1.10111E+22,5403,2011,2,2103572,SP_2185
2017,6,97,1.0001E+22,147,2017,2,72079,
2018,6,98,1.00111E+23,1716,2018,3,819864,SP_0872
2019,6,99,1.11111E+23,2779,2019,3,1520735,SP_1621
2022,6,102,1.01101E+23,3676,2022,3,1940879,SP_2034
2022.1,6,102,1.01101E+23,5477,2022,3,161934,SP_0166
2030,6,110,1.01101E+23,3680,2030,3,1941813,SP_2035
2032,6,112,1.011E+23,3356,2032,2,1787444,SP_1884
2035,6,115,1.1001E+23,1821,2035,3,874479,SP_0920
2038,6,118,1.11E+23,3007,2038,2,1654808,SP_1753
2043,6,123,1.1011E+14,6318,2043,3,857325,SP_0904
2044,6,124,1.0111E+23,4174,2044,3,2087084,SP_2169
2046,6,126,1.01111E+23,1969,2046,3,977897,SP_1037
2049,6,129,1.101E+22,4754,2049,3,719583,SP_0760
2056,6,136,1.01111E+20,1599,2056,3,705571,SP_0744
2057,6,137,1.001E+22,2184,2057,3,1105588,
2062,6,142,1.11101E+23,560,2062,3,191718,SP_0205
2062.1,6,142,1.11101E+23,3056,2062,3,1668236,SP_1765
2065,6,145,1.0101E+23,2869,2065,2,1577805,SP_1676
2073,6,153,1.0001E+22,4821,2073,3,925715,SP_0979
2074,6,154,1.011E+23,3143,2074,3,1712380,SP_1796
2079,6,159,1.10001E+23,717,2079,3,276721,
2079.1,6,159,1.10001E+23,2530,2079,3,1339686,
2081,6,161,1.00011E+23,2351,2081,3,1238537,SP_1315
2091,6,171,1.11E+23,2599,2091,2,1356927,SP_1437
2092,6,172,1.1001E+22,5394,2092,2,2091596,
2093,6,173,1.10001E+22,5309,2093,2,2014326,
2097,6,177,1.01011E+23,5823,2097,3,1918738,SP_2011
2099,6,179,1.0001E+21,5601,2099,3,673101,
2102,6,182,1.00111E+21,4787,2102,3,794578,SP_0847
2102.1,6,182,1.00111E+21,5064,2102,3,1522286,
2102.2,6,182,1.00111E+21,5646,2102,3,949380,SP_1004
2102.3,6,182,1.00111E+21,5785,2102,3,1739235,SP_1828
2107,6,187,1.1011E+21,5720,2107,3,1378827,SP_1465
2108,6,188,1.1E+23,3088,2108,3,1676067,
2108.1,6,188,1.1E+23,3205,2108,3,1734641,SP_1824
2108.2,6,188,1.1E+23,3891,2108,3,2030553,SP_2117
2109,6,189,1.10101E+23,3355,2109,3,1786757,SP_1884
2113,6,193,1.001E+23,4088,2113,2,2075572,SP_2159
2114,6,194,1.0111E+23,1435,2114,3,636561,SP_0664
2118,6,198,1.10111E+22,5326,2118,3,2039930,SP_2128
2122,6,202,1.0011E+23,1316,2122,3,574087,
2125,6,205,1.01E+23,1185,2125,3,520415,SP_0550
2130,6,210,1.001E+19,6143,2130,2,622770,SP_0649
2134,6,214,1.0011E+23,268,2134,3,104632,
2135,6,215,1.11101E+23,1767,2135,3,853434,
2137,6,217,1.1011E+20,5996,2137,2,980489,SP_1040
2143,6,223,1.10101E+23,1531,2143,3,672716,SP_0707
2145,6,225,1.10011E+22,4698,2145,3,605284,SP_0641
2145.1,6,225,1.10011E+22,5158,2145,3,1725855,SP_1812
2154,6,234,1.1111E+23,5029,2154,3,1412570,SP_1504
2157,6,237,1.001E+20,4034,2157,2,2065590,
2157.1,6,237,1.001E+20,5736,2157,2,1517557,
2159,6,239,1.01101E+23,1105,2159,3,486877,SP_0505
2159.1,6,239,1.01101E+23,1299,2159,2,565287,SP_0597
2164,6,244,1.00001E+22,4833,2164,3,967797,SP_1025
2167,6,247,1.1101E+21,5480,2167,3,169454,SP_0176
2170,6,250,1.11101E+23,2689,2170,3,1436060,SP_1526
2170.1,6,250,1.11101E+23,2943,2170,3,1598145,
2173,6,253,1.00111E+23,673,2173,3,255064,
2178,6,258,1.111E+23,62,2178,3,57371,SP_0054
2179,6,259,1.11011E+23,5331,2179,3,2041947,SP_2130
2180,6,260,1.1E+21,5910,2180,2,140852,
2188,6,268,1.011E+23,5592,2188,2,638775,SP_0664
2190,6,270,1.10111E+23,2700,2190,2,1443109,
2196,6,276,1.01111E+20,5214,2196,3,1830174,
2204,6,284,1.00011E+23,1937,2204,3,952646,SP_1008
2207,6,287,1.111E+19,5924,2207,3,218026,SP_0248
2212,6,292,1.0001E+20,6056,2212,2,1660943,SP_1759
2213,6,293,1.0101E+18,1402,2213,3,621857,
2215,6,295,1.10111E+18,3927,2215,3,2040573,
2216,6,296,1.1011E+20,5709,2216,3,1335734,
2237,6,317,1.0101E+23,1134,2237,3,504956,
2239,6,319,1.01E+22,969,2239,2,436547,SP_0461
2239.1,6,319,1.01E+22,4801,2239,2,862481,SP_0908
2247,6,327,1.111E+21,5450,2247,3,78442,SP_0071
2247.1,6,327,1.111E+21,5707,2247,3,1317497,SP_1393
2247.2,6,327,1.111E+21,5859,2247,3,2046740,SP_2136
2258,6,338,1.11111E+23,4325,2258,3,2148739,
2283,6,363,1.10101E+23,3914,2283,3,2037619,SP_2126
2284,6,364,1.111E+22,5089,2284,3,1580466,SP_1681
2289,6,369,1.10011E+23,1167,2289,3,513607,SP_0536
2289.1,6,369,1.10011E+23,1214,2289,3,542290,SP_0575
2296,6,376,1.01E+23,3884,2296,3,2025264,
2298,6,378,1.1101E+22,4837,2298,3,974589,SP_1033
2300,6,380,1.00001E+23,1071,2300,3,466221,SP_0484
2302,6,382,1.0001E+23,1615,2302,3,712873,
2311,7,7,1.011E+22,4660,2311,3,517936,SP_0545
2312,7,8,1.0111E+23,2162,2312,2,1093479,
2312.1,7,8,1.0111E+23,2254,2312,3,1165459,
2312.2,7,8,1.0111E+23,3863,2312,3,2020273,
2312.3,7,8,1.0111E+23,3887,2312,3,2026199,SP_2112
2313,7,9,1.11001E+22,5218,2313,2,1847051,SP_1943
2318,7,14,1.0001E+23,2495,2318,3,1306244,
2318.1,7,14,1.0001E+23,2625,2318,3,1374325,SP_1458
2321,7,17,1.10111E+23,781,2321,3,294493,SP_0320
2338,7,34,1.101E+23,1481,2338,3,656188,
2345,7,41,1.01011E+23,3568,2345,3,1893619,SP_1989
2346,7,42,1.1E+23,2148,2346,3,1085322,SP_1154
2347,7,43,1.01101E+21,5101,2347,3,1591672,SP_1690
2349,7,45,1.00101E+23,2522,2349,3,1334033,SP_1415
2350,7,46,1.001E+23,3156,2350,2,1717306,SP_1800
2351,7,47,1.11E+17,6299,2351,2,2087220,SP_2169
2354,7,50,1.011E+23,1514,2354,3,668139,
2360,7,56,1.00001E+21,5522,2360,2,441889,SP_0463
2369,7,65,1.01001E+23,3286,2369,3,1755458,SP_1847
2377,7,73,1.0011E+23,3479,2377,3,1855062,SP_1952
2377.1,7,73,1.0011E+23,3769,2377,2,1985000,SP_2076
2378,7,74,1.01111E+22,4673,2378,3,546060,SP_0578
2379,7,75,1.00101E+23,4275,2379,2,2110634,SP_2190
2381,7,77,1.11111E+23,3590,2381,3,1905207,SP_2001
2392,7,88,1.0001E+23,3213,2392,3,1735851,
2399,7,95,1.01E+23,111,2399,3,66654,
2400,7,96,1.00001E+23,3274,2400,2,1748386,
2410,7,106,1.11001E+23,158,2410,3,74225,SP_0071
2413,7,109,1.1001E+22,5806,2413,3,1800529,SP_1894
2414,7,110,1.1001E+22,5030,2414,3,1424412,
2416,7,112,1.1011E+23,491,2416,2,163839,SP_0168
2416.1,7,112,1.1011E+23,1588,2416,3,698792,
2418,7,114,1.10111E+23,90,2418,3,63744,
2419,7,115,1.11101E+22,4757,2419,2,726900,SP_0768
2421,7,117,1.01101E+23,5770,2421,3,1676363,SP_1771
2422,7,118,1.11001E+22,5151,2422,3,1720476,
2429,7,125,1.111E+22,4055,2429,3,2071332,SP_2157
2435,7,131,1.001E+22,3651,2435,3,1934934,
2435.1,7,131,1.001E+22,4803,2435,3,865026,SP_0912
2444,7,140,1.1E+22,4766,2444,2,737250,SP_0784
2445,7,141,1.11111E+23,240,2445,3,95814,SP_0092
2452,7,148,1.11001E+21,760,2452,3,285624,SP_0312
2458,7,154,1.10001E+23,1272,2458,3,552970,
2464,7,160,1.00111E+23,3520,2464,2,1871634,SP_1963
2471,7,167,1.10011E+23,1756,2471,3,845202,SP_0894
2472,7,168,1.001E+23,3121,2472,3,1703815,SP_1786
2472.1,7,168,1.001E+23,3915,2472,3,2037950,SP_2126
2482,7,178,1.00111E+23,985,2482,3,438324,
2482.1,7,178,1.00111E+23,6145,2482,3,696694,
2498,7,194,1.01111E+23,1924,2498,3,950359,SP_1005
2498.1,7,194,1.01111E+23,3599,2498,3,1920460,SP_2013
2510,7,206,1.1101E+22,4640,2510,3,486117,SP_0505
2512,7,208,1.01101E+23,2458,2512,3,1269522,SP_1344
2512.1,7,208,1.01101E+23,3967,2512,3,2045513,SP_2133
2514,7,210,1.00011E+22,4508,2514,3,202556,
2515,7,211,1.10001E+22,5810,2515,3,1826556,SP_1915
2518,7,214,1.11111E+21,5703,2518,3,1270162,
2534,7,230,1.00101E+23,2473,2534,3,1292779,SP_1369
2538,7,234,1.01011E+21,5462,2538,3,113828,
2551,7,247,1.00101E+22,4435,2551,3,113212,
2551.1,7,247,1.00101E+22,4920,2551,3,1160660,SP_1228
2556,7,252,1.00111E+23,2145,2556,3,1083832,
2557,7,253,1.0011E+23,2181,2557,3,1103119,SP_1167
2569,7,265,1.00101E+23,3369,2569,3,1797171,SP_1891
2573,7,269,1.1111E+22,2201,2573,3,1120350,SP_1182
2575,7,271,1.10111E+22,4988,2575,3,1306234,
2576,7,272,1.0101E+23,5767,2576,2,1674166,SP_1769
2580,7,276,1.101E+23,1725,2580,3,831353,SP_0881
2582,7,278,1.1E+20,5900,2582,3,73843,SP_0071
2583,7,279,1.111E+22,5201,2583,3,1795602,SP_1891
2587,7,283,1.1011E+23,303,2587,2,127168,
2595,7,291,1.101E+23,3531,2595,2,1875575,SP_1967
2598,7,294,1.011E+22,4527,2598,3,244019,SP_0268
2599,7,295,1.0001E+23,6153,2599,3,864069,
2601,7,297,1.11011E+20,564,2601,3,208354,
2606,7,302,1.1101E+21,5688,2606,3,1240941,SP_1317
2610,7,306,1.01111E+23,2893,2610,3,1584495,SP_1684
2612,7,308,1.111E+23,4668,2612,3,535637,SP_0570
2612.1,7,308,1.111E+23,4669,2612,3,535823,SP_0570
2618,7,314,1.1111E+22,4991,2618,2,1319705,SP_1396
2627,7,323,1.11001E+23,3825,2627,3,2008509,SP_2099
2628,7,324,1.11001E+23,645,2628,3,223330,SP_0253
2638,7,334,1.0001E+20,5949,2638,3,502635,
2643,7,339,1.10011E+18,6232,2643,3,829195,SP_0879
2643.1,7,339,1.10011E+18,6248,2643,3,1629175,SP_1725
2644,7,340,1.10101E+21,5593,2644,3,639654,SP_0664
2647,7,343,1.01101E+23,5454,2647,3,85774,SP_0081
2654,7,350,1.01001E+23,2585,2654,3,1353501,SP_1434
2659,7,355,1.00011E+23,2379,2659,3,1245518,SP_1322
2661,7,357,1.011E+23,2500,2661,3,1315180,SP_1391
2669,7,365,1.00011E+22,1122,2669,3,499384,SP_0518
2670,7,366,1.00101E+20,5062,2670,3,1521057,SP_1621
2676,7,372,1.0001E+21,5543,2676,2,476566,SP_0498
2682,7,378,1.01011E+19,4418,2682,3,99624,SP_0097
2688,7,384,1.111E+23,1921,2688,2,949448,SP_1004
2699,8,11,1.111E+21,5686,2699,2,1238772,SP_1315
2700,8,12,1.111E+23,1011,2700,3,450527,
2708,8,20,1.101E+23,252,2708,3,99448,SP_0097
2708.1,8,20,1.101E+23,4056,2708,3,2071334,SP_2157
2717,8,29,1.11E+23,2799,2717,2,1528671,
2725,8,37,1.1111E+23,2291,2725,3,1190340,SP_1257
2729,8,41,1.1011E+22,4487,2729,3,164835,
2738,8,50,1.00101E+23,6074,2738,3,1805337,SP_1898
2740,8,52,1.11111E+22,4689,2740,3,600418,SP_0636
2741,8,53,1.1111E+23,1782,2741,2,859868,SP_0907
2746,8,58,1.0001E+23,4037,2746,3,2066593,SP_2152
2751,8,63,1.1011E+20,2991,2751,3,1644058,SP_1739
2757,8,69,1.11E+22,5163,2757,3,1736337,SP_1825
2759,8,71,1.10101E+22,5243,2759,2,1884193,
2769,8,81,1.01101E+23,21,2769,2,21591,SP_0017
2774,8,86,1.11001E+21,5373,2774,3,2077639,SP_2160
2780,8,92,1.11011E+22,4819,2780,2,924509,
2793,8,105,1.01101E+21,5695,2793,3,1248303,SP_1325
2796,8,108,1.0111E+22,1364,2796,3,607490,SP_0641
2796.1,8,108,1.0111E+22,4665,2796,3,526840,
2798,8,110,1.001E+23,2285,2798,2,1188159,SP_1252
2798.1,8,110,1.001E+23,3989,2798,3,2050946,SP_2141
2799,8,111,1.1101E+23,2279,2799,3,1186180,SP_1251
2807,8,119,1.111E+22,4489,2807,2,165371,SP_0171
2808,8,120,1.01111E+20,5961,2808,3,608556,SP_0641
2836,8,148,1.11001E+23,2832,2836,3,1543766,
2845,8,157,1.10101E+18,5819,2845,3,1892656,R08-SP1988-SP1989
2846,8,158,1.0101E+23,5772,2846,3,1691820,
2852,8,164,1.10101E+21,5866,2852,3,2068959,
2860,8,172,1.11001E+21,5675,2860,3,1110824,
2865,8,177,1.01101E+18,6252,2865,3,1851092,SP_1950
2875,8,187,1.11001E+23,689,2875,3,264015,
2875.1,8,187,1.11001E+23,2790,2875,3,1527064,SP_1625
2877,8,189,1.1101E+22,5050,2877,3,1507189,
2890,8,202,1.10001E+22,4594,2890,2,429909,SP_0457
2894,8,206,1.1101E+21,1768,2894,3,853548,
2897,8,209,1.0001E+23,115,2897,3,67102,SP_0061
2898,8,210,1.1E+23,3181,2898,3,1725138,
2908,8,220,1.11E+23,2607,2908,3,1367133,
2910,8,222,1.111E+21,5439,2910,3,60009,SP_0057
2912,8,224,1.1001E+23,467,2912,2,161080,
2912.1,8,224,1.1001E+23,2228,2912,3,1134963,SP_1201
2913,8,225,1.1101E+22,4623,2913,2,457703,SP_0478
2916,8,228,1.11101E+22,5199,2916,2,1793975,
2917,8,229,1.00111E+21,5852,2917,3,2035503,SP_2123
2931,8,243,1.10111E+23,1616,2931,3,712908,
2940,8,252,1E+23,453,2940,2,156739,SP_0159
2959,8,271,1.11101E+23,3032,2959,3,1662483,SP_1761
2959.1,8,271,1.11101E+23,3740,2959,3,1964937,SP_2064
2965,8,277,1.01101E+23,1492,2965,3,663242,SP_0692
2965.1,8,277,1.01101E+23,3429,2965,3,1836638,SP_1930
2966,8,278,1.10011E+22,5135,2966,3,1674241,SP_1769
2973,8,285,1.00011E+23,2088,2973,3,1045436,SP_1115
2975,8,287,1.11E+23,2403,2975,3,1252208,SP_1328
2978,8,290,1.01E+23,4003,2978,2,2056009,
2979,8,291,1.0101E+23,4180,2979,3,2088166,SP_2169
2981,8,293,1.11101E+23,3167,2981,3,1719585,
2982,8,294,1.111E+21,5712,2982,2,1354511,SP_1435
2983,8,295,1.11111E+23,2510,2983,2,1321585,SP_1398
2991,8,303,1.11001E+23,477,2991,2,162072,SP_0166
2996,8,308,1.0111E+23,715,2996,2,276251,
3001,8,313,1.1E+23,4050,3001,3,2068766,SP_2154
3009,8,321,1.10101E+22,4681,3009,3,558410,SP_0588
3009.1,8,321,1.10101E+22,4707,3009,3,615548,SP_0648
3010,8,322,1.00011E+22,5385,3010,3,2084008,SP_2167
3021,8,333,1.01E+23,3196,3021,3,1732956,
3023,8,335,1.1011E+23,971,3023,3,436687,SP_0461
3031,8,343,1.101E+22,5175,3031,3,1750498,SP_1840
3047,8,359,1.11001E+22,5150,3047,0,1718466,
3049,8,361,1E+22,1814,3049,3,872802,SP_0918
3050,8,362,1.1001E+23,2061,3050,2,1016172,
3051,8,363,1.11111E+23,3290,3051,3,1757487,SP_1849
3051.1,8,363,1.11111E+23,3607,3051,3,1923788,SP_2017
3051.2,8,363,1.11111E+23,4207,3051,2,2092236,SP_2175
3051.3,8,363,1.11111E+23,4831,3051,2,957301,SP_1013
3058,8,370,1.01E+21,517,3058,2,169790,SP_0177
3062,8,374,1.11011E+23,2936,3062,3,1596098,SP_1693
3067,8,379,1.0011E+23,6191,3067,3,1961603,SP_2059
3068,8,380,1.01011E+18,6142,3068,3,613617,SP_0647
3074,9,2,1.10001E+20,6018,3074,3,1235133,SP_1308
3075,9,3,1.1101E+23,4009,3075,2,2057752,SP_2145
3086,9,14,1.11111E+23,3432,3086,3,1837467,
3088,9,16,1.11101E+23,3316,3088,3,1765790,SP_1858
3103,9,31,1.1101E+23,2597,3103,3,1356603,SP_1436
3105,9,33,1.01101E+23,3158,3105,2,1717774,SP_1800
3111,9,39,1.00011E+23,273,3111,3,110514,
3117,9,45,1.0101E+22,1489,3117,2,658037,SP_0686
3120,9,48,1.111E+23,1321,3120,2,575409,SP_0608
3126,9,54,1.0111E+22,4696,3126,3,604272,SP_0641
3127,9,55,1.01001E+22,5366,3127,3,2072404,SP_2158
3128,9,56,1.00111E+23,3426,3128,3,1833700,
3129,9,57,1.00101E+22,4905,3129,3,1118398,
3130,9,58,1.1011E+23,1041,3130,3,457451,SP_0478
3135,9,63,1.0001E+23,6147,3135,3,739411,SP_0785
3137,9,65,1.0001E+22,6223,3137,3,511006,SP_0530
3145,9,73,1.1001E+22,5337,3145,3,2046526,
3156,9,84,1.1001E+23,4404,3156,2,82182,
3159,9,87,1.11101E+23,2980,3159,2,1623800,
